Timeslice,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040
ND_N,0.028014016,0.028014016,0.028014016,0.028014016,0.028014016,0.028014016,0.028014016,0.028014016,0.028014016,0.038562073,0.038562073,0.038562073,0.038562073,0.038562073,0.038562073,0.038562073,0.038562073,0.038562073,0.038562073,0.038562073,0.038562073,0.038562073,0.038562073,0.038562073,0.038562073
ND_E,0.079387633,0.079387633,0.079387633,0.079387633,0.079387633,0.079387633,0.079387633,0.079387633,0.079387633,0.033796077,0.033796077,0.033796077,0.033796077,0.033796077,0.033796077,0.033796077,0.033796077,0.033796077,0.033796077,0.033796077,0.033796077,0.033796077,0.033796077,0.033796077,0.033796077
ND_D,0.059721639,0.059721639,0.059721639,0.059721639,0.059721639,0.059721639,0.059721639,0.059721639,0.059721639,0.095677548,0.095677548,0.095677548,0.095677548,0.095677548,0.095677548,0.095677548,0.095677548,0.095677548,0.095677548,0.095677548,0.095677548,0.095677548,0.095677548,0.095677548,0.095677548
MJJ_N,0.042250647,0.042250647,0.042250647,0.042250647,0.042250647,0.042250647,0.042250647,0.042250647,0.042250647,0.057967363,0.057967363,0.057967363,0.057967363,0.057967363,0.057967363,0.057967363,0.057967363,0.057967363,0.057967363,0.057967363,0.057967363,0.057967363,0.057967363,0.057967363,0.057967363
MJJ_E,0.119732168,0.119732168,0.119732168,0.119732168,0.119732168,0.119732168,0.119732168,0.119732168,0.119732168,0.050513435,0.050513435,0.050513435,0.050513435,0.050513435,0.050513435,0.050513435,0.050513435,0.050513435,0.050513435,0.050513435,0.050513435,0.050513435,0.050513435,0.050513435,0.050513435
MJJ_D,0.09007198,0.09007198,0.09007198,0.09007198,0.09007198,0.09007198,0.09007198,0.09007198,0.09007198,0.143550192,0.143550192,0.143550192,0.143550192,0.143550192,0.143550192,0.143550192,0.143550192,0.143550192,0.143550192,0.143550192,0.143550192,0.143550192,0.143550192,0.143550192,0.143550192
JFMA_N,0.055109539,0.055109539,0.055109539,0.055109539,0.055109539,0.055109539,0.055109539,0.055109539,0.055109539,0.074354271,0.074354271,0.074354271,0.074354271,0.074354271,0.074354271,0.074354271,0.074354271,0.074354271,0.074354271,0.074354271,0.074354271,0.074354271,0.074354271,0.074354271,0.074354271
JFMA_E,0.156172393,0.156172393,0.156172393,0.156172393,0.156172393,0.156172393,0.156172393,0.156172393,0.156172393,0.064981209,0.064981209,0.064981209,0.064981209,0.064981209,0.064981209,0.064981209,0.064981209,0.064981209,0.064981209,0.064981209,0.064981209,0.064981209,0.064981209,0.064981209,0.064981209
JFMA_D,0.117485192,0.117485192,0.117485192,0.117485192,0.117485192,0.117485192,0.117485192,0.117485192,0.117485192,0.182263507,0.182263507,0.182263507,0.182263507,0.182263507,0.182263507,0.182263507,0.182263507,0.182263507,0.182263507,0.182263507,0.182263507,0.182263507,0.182263507,0.182263507,0.182263507
ASO_N,0.042250647,0.042250647,0.042250647,0.042250647,0.042250647,0.042250647,0.042250647,0.042250647,0.042250647,0.058895173,0.058895173,0.058895173,0.058895173,0.058895173,0.058895173,0.058895173,0.058895173,0.058895173,0.058895173,0.058895173,0.058895173,0.058895173,0.058895173,0.058895173,0.058895173
ASO_E,0.119732168,0.119732168,0.119732168,0.119732168,0.119732168,0.119732168,0.119732168,0.119732168,0.119732168,0.051908451,0.051908451,0.051908451,0.051908451,0.051908451,0.051908451,0.051908451,0.051908451,0.051908451,0.051908451,0.051908451,0.051908451,0.051908451,0.051908451,0.051908451,0.051908451
ASO_D,0.09007198,0.09007198,0.09007198,0.09007198,0.09007198,0.09007198,0.09007198,0.09007198,0.09007198,0.147530702,0.147530702,0.147530702,0.147530702,0.147530702,0.147530702,0.147530702,0.147530702,0.147530702,0.147530702,0.147530702,0.147530702,0.147530702,0.147530702,0.147530702,0.147530702
